,Nom du commerce,Adresse,Numéro,Code postal,Localité,Géo Point,Time
0,L'Ecuyer du Bélian,Rue de la Montagne,5,4280,Bertrée,"50.701453513,5.091700504",3
1,Le Haras du Rivage,Rue Isidore Fumal,16,4280,Cras-Avernas,"50.696224182,5.117659793",3
2,"L'écurie ""Le Galossy""",Ruelle Gohette,1,4280,Avernas-le-Bauduin,"50.69773819,5.079952703",3
3,Dans le regard de l'autre,Rue Hubert Larock,13 bte 1,4280,Poucet,"50.67670088,5.117276147",3
4,Attelages de la Chapelle,Rue de la Chapelle,5,4280,Merdorp,"50.659335699,4.999729585",3
5,Haras de Petit-Hallet,Rue du Milieu,1 bte 4,4280,Petit-Hallet,"50.688824663,5.018147589",3
